word	rank
you	1
i	2
to	3
the	4
a	5
and	6
that	7
it	8
of	9
me	10
what	11
is	12
in	13
this	14
know	15
I'm	16
for	17
no	18
have	19
my	20
don't	21
just	22
not	23
do	24
be	25
on	26
your	27
was	28
we	29
it's	30
with	31
so	32
but	33
all	34
well	35
are	36
he	37
oh	38
about	39
right	40
you're	41
get	42
here	43
out	44
going	45
like	46
yeah	47
if	48
her	49
she	50
can	51
up	52
want	53
think	54
that's	55
now	56
go	57
him	58
at	59
how	60
got	61
there	62
one	63
did	64
why	65
see	66
come	67
good	68
they	69
really	70
as	71
would	72
look	73
when	74
time	75
will	76
okay	77
back	78
can't	79
mean	80
tell	81
I'll	82
from	83
hey	84
were	85
he's	86
could	87
didn't	88
yes	89
his	90
been	91
or	92
something	93
who	94
because	95
some	96
had	97
then	98
say	99
ok	100
take	101
an	102
way	103
us	104
little	105
make	106
need	107
gonna	108
never	109
we're	110
too	111
love	112
she's	113
I've	114
sure	115
them	116
more	117
over	118
our	119
sorry	120
where	121
what's	122
let	123
thing	124
am	125
maybe	126
down	127
man	128
has	129
uh	130
very	131
by	132
there's	133
should	134
anything	135
said	136
much	137
any	138
life	139
even	140
off	141
please	142
doing	143
thank	144
give	145
only	146
thought	147
help	148
two	149
talk	150
people	151
god	152
still	153
wait	154
into	155
find	156
nothing	157
again	158
things	159
let's	160
doesn't	161
call	162
told	163
great	164
before	165
better	166
ever	167
night	168
than	169
away	170
first	171
believe	172
other	173
feel	174
everything	175
work	176
you've	177
fine	178
home	179
after	180
last	181
these	182
day	183
keep	184
does	185
put	186
around	187
stop	188
they're	189
I'd	190
guy	191
long	192
isn't	193
always	194
listen	195
wanted	196
Mr .	197
guys	198
huh	199
those	200
big	201
lot	202
happened	203
thanks	204
won't	205
trying	206
kind	207
wrong	208
through	209
talking	210
made	211
new	212
being	213
guess	214
hi	215
care	216
bad	217
mom	218
remember	219
getting	220
we'll	221
together	222
dad	223
leave	224
mother	225
place	226
understand	227
wouldn't	228
actually	229
hear	230
baby	231
nice	232
father	233
else	234
stay	235
done	236
wasn't	237
their	238
course	239
might	240
mind	241
every	242
enough	243
try	244
hell	245
came	246
someone	247
you'll	248
own	249
family	250
whole	251
another	252
house	253
jack	254
yourself	255
idea	256
ask	257
best	258
must	259
coming	260
old	261
looking	262
woman	263
hello	264
which	265
years	266
room	267
money	268
left	269
knew	270
tonight	271
real	272
son	273
hope	274
name	275
same	276
went	277
um	278
hmm	279
happy	280
pretty	281
saw	282
girl	283
sir	284
show	285
friend	286
already	287
saying	288
may	289
next	290
three	291
job	292
problem	293
minute	294
found	295
world	296
thinking	297
haven't	298
heard	299
honey	300
matter	301
myself	302
couldn't	303
exactly	304
having	305
ah	306
probably	307
happen	308
we've	309
hurt	310
boy	311
both	312
while	313
dead	314
gotta	315
alone	316
since	317
excuse	318
start	319
kill	320
hard	321
you'd	322
today	323
car	324
ready	325
until	326
without	327
whatever	328
wants	329
hold	330
wanna	331
yet	332
seen	333
deal	334
took	335
once	336
gone	337
called	338
morning	339
supposed	340
friends	341
head	342
stuff	343
most	344
used	345
worry	346
second	347
part	348
live	349
truth	350
school	351
face	352
forget	353
TRUE	354
business	355
each	356
cause	357
soon	358
knows	359
few	360
telling	361
wife	362
who's	363
use	364
chance	365
run	366
move	367
anyone	368
person	369
bye	370
J .	371
somebody	372
Dr.	373
heart	374
such	375
miss	376
married	377
point	378
later	379
making	380
meet	381
anyway	382
many	383
phone	384
reason	385
damn	386
lost	387
looks	388
bring	389
case	390
turn	391
wish	392
tomorrow	393
kids	394
trust	395
check	396
change	397
end	398
late	399
anymore	400
five	401
least	402
town	403
aren't	404
ha	405
working	406
year	407
makes	408
taking	409
means	410
brother	411
play	412
hate	413
ago	414
says	415
beautiful	416
gave	417
fact	418
crazy	419
party	420
sit	421
open	422
afraid	423
between	424
important	425
rest	426
fun	427
kid	428
word	429
watch	430
glad	431
everyone	432
days	433
sister	434
minutes	435
everybody	436
bit	437
couple	438
whoa	439
either	440
Mrs .	441
feeling	442
daughter	443
wow	444
gets	445
asked	446
under	447
break	448
promise	449
door	450
set	451
close	452
hand	453
easy	454
question	455
doctor	456
tried	457
far	458
walk	459
needs	460
trouble	461
mine	462
though	463
times	464
different	465
killed	466
hospital	467
anybody	468
sam	469
alright	470
wedding	471
shut	472
able	473
die	474
perfect	475
police	476
stand	477
comes	478
hit	479
story	480
ya	481
mm	482
waiting	483
dinner	484
against	485
funny	486
husband	487
almost	488
stupid	489
pay	490
answer	491
four	492
office	493
cool	494
eyes	495
news	496
child	497
shouldn't	498
half	499
side	500
yours	501
moment	502
sleep	503
read	504
where's	505
started	506
young	507
men	508
sounds	509
sonny	510
lucky	511
pick	512
sometimes	513
em	514
bed	515
also	516
date	517
line	518
plan	519
hours	520
lose	521
fire	522
free	523
hands	524
serious	525
Leo	526
shit	527
behind	528
inside	529
high	530
ahead	531
week	532
wonderful	533
T .	534
fight	535
past	536
cut	537
quite	538
number	539
he'll	540
sick	541
S .	542
it'll	543
game	544
eat	545
nobody	546
goes	547
death	548
along	549
save	550
seems	551
finally	552
lives	553
worried	554
upset	555
Theresa	556
Carly	557
Ethan	558
met	559
book	560
brought	561
seem	562
sort	563
safe	564
living	565
children	566
weren't	567
leaving	568
front	569
shot	570
loved	571
asking	572
running	573
clear	574
figure	575
hot	576
felt	577
six	578
parents	579
drink	580
absolutely	581
how's	582
daddy	583
sweet	584
alive	585
Paul	586
sense	587
meant	588
happens	589
David	590
special	591
bet	592
blood	593
ain't	594
kidding	595
lie	596
full	597
meeting	598
dear	599
coffee	600
seeing	601
sound	602
fault	603
water	604
fuck	605
ten	606
women	607
john	608
welcome	609
buy	610
months	611
hour	612
speak	613
lady	614
Jen	615
thinks	616
Christmas	617
body	618
order	619
outside	620
hang	621
possible	622
worse	623
company	624
mistake	625
ooh	626
handle	627
spend	628
C .	629
totally	630
giving	631
control	632
here's	633
marriage	634
realize	635
D .	636
power	637
president	638
unless	639
sex	640
girls	641
send	642
needed	643
o	644
taken	645
died	646
scared	647
picture	648
talked	649
Jake	650
Al	651
ass	652
hundred	653
changed	654
completely	655
explain	656
playing	657
certainly	658
sign	659
boys	660
relationship	661
Michael	662
loves	663
fucking	664
hair	665
lying	666
choice	667
anywhere	668
secret	669
future	670
weird	671
luck	672
she'll	673
max	674
Luis	675
turned	676
known	677
touch	678
kiss	679
crane	680
questions	681
obviously	682
wonder	683
pain	684
calling	685
somewhere	686
throw	687
straight	688
grace	689
cold	690
white	691
fast	692
Natalie	693
words	694
R .	695
food	696
none	697
drive	698
feelings	699
they'll	700
worked	701
marry	702
light	703
test	704
drop	705
cannot	706
Frank	707
sent	708
city	709
dream	710
protect	711
twenty	712
class	713
Lucy	714
surprise	715
its	716
sweetheart	717
forever	718
poor	719
looked	720
mad	721
except	722
gun	723
y'know	724
dance	725
takes	726
appreciate	727
especially	728
situation	729
besides	730
weeks	731
pull	732
himself	733
hasn't	734
act	735
worth	736
Sheridan	737
amazing	738
top	739
given	740
expect	741
Ben	742
rather	743
Julian	744
involved	745
swear	746
piece	747
busy	748
law	749
decided	750
black	751
Joey	752
happening	753
movie	754
we'd	755
catch	756
Antonio	757
country	758
less	759
perhaps	760
step	761
fall	762
watching	763
kept	764
darling	765
dog	766
Ms .	767
win	768
air	769
honor	770
personal	771
moving	772
till	773
admit	774
problems	775
murder	776
strong	777
he'd	778
evil	779
definitely	780
feels	781
information	782
honest	783
eye	784
broke	785
missed	786
longer	787
dollars	788
tired	789
Jason	790
George	791
evening	792
human	793
starting	794
Ross	795
red	796
entire	797
trip	798
Brooke	799
E .	800
club	801
Niles	802
suppose	803
calm	804
imagine	805
Todd	806
fair	807
caught	808
B .	809
blame	810
street	811
sitting	812
favor	813
apartment	814
court	815
terrible	816
clean	817
tony	818
learn	819
Alison	820
Rick	821
works	822
rose	823
Frasier	824
relax	825
York	826
million	827
charity	828
accident	829
wake	830
prove	831
Danny	832
smart	833
message	834
missing	835
forgot	836
small	837
interested	838
table	839
nbsp	840
become	841
Craig	842
mouth	843
pregnant	844
middle	845
billy	846
ring	847
careful	848
shall	849
dude	850
team	851
ride	852
figured	853
wear	854
shoot	855
stick	856
ray	857
follow	858
Bo	859
angry	860
instead	861
buddy	862
write	863
stopped	864
early	865
angel	866
nick	867
ran	868
war	869
standing	870
forgive	871
jail	872
wearing	873
Miguel	874
ladies	875
kinda	876
lunch	877
Cristian	878
eight	879
Greenlee	880
gotten	881
hoping	882
Phoebe	883
thousand	884
ridge	885
music	886
Luke	887
paper	888
tough	889
tape	890
Emily	891
state	892
count	893
college	894
boyfriend	895
proud	896
agree	897
birthday	898
bill	899
seven	900
they've	901
Timmy	902
history	903
share	904
offer	905
hurry	906
ow	907
feet	908
wondering	909
simple	910
decision	911
building	912
ones	913
finish	914
voice	915
herself	916
Chris	917
would've	918
list	919
Kay	920
mess	921
deserve	922
evidence	923
cute	924
Jerry	925
dress	926
Richard	927
interesting	928
Jesus	929
James	930
hotel	931
enjoy	932
Ryan	933
Lindsay	934
quiet	935
concerned	936
road	937
eve	938
staying	939
short	940
M .	941
beat	942
sweetie	943
mention	944
clothes	945
finished	946
fell	947
neither	948
mmm	949
fix	950
victor	951
respect	952
spent	953
prison	954
attention	955
holding	956
calls	957
near	958
surprised	959
bar	960
Beth	961
pass	962
keeping	963
gift	964
hadn't	965
putting	966
dark	967
self	968
owe	969
using	970
Nora	971
ice	972
helping	973
bitch	974
normal	975
aunt	976
lawyer	977
apart	978
certain	979
plans	980
Jax	981
girlfriend	982
floor	983
whether	984
everything 's	985
present	986
earth	987
private	988
Jessica	989
box	990
Dawson	991
cover	992
judge	993
upstairs	994
Alexis	995
Shawn	996
sake	997
mommy	998
possibly	999
worst	1000
station	1001
acting	1002
accept	1003
blow	1004
strange	1005
saved	1006
ivy	1007
conversation	1008
plane	1009
mama	1010
yesterday	1011
lied	1012
quick	1013
lately	1014
stuck	1015
lovely	1016
security	1017
report	1018
Barbara	1019
difference	1020
rid	1021
tv	1022
Adam	1023
store	1024
she'd	1025
bag	1026
Mike	1027
bought	1028
ball	1029
single	1030
Kevin	1031
doubt	1032
listening	1033
major	1034
walking	1035
cops	1036
blue	1037
deep	1038
dangerous	1039
Buffy	1040
park	1041
sleeping	1042
Chloe	1043
Rafe	1044
shh	1045
record	1046
lord	1047
Erica	1048
moved	1049
join	1050
key	1051
captain	1052
card	1053
crime	1054
gentlemen	1055
willing	1056
window	1057
return	1058
walked	1059
guilty	1060
Brenda	1061
likes	1062
fighting	1063
difficult	1064
soul	1065
joke	1066
service	1067
magic	1068
favorite	1069
uncle	1070
promised	1071
public	1072
bother	1073
island	1074
Jim	1075
seriously	1076
cell	1077
lead	1078
knowing	1079
broken	1080
advice	1081
somehow	1082
paid	1083
Blair	1084
losing	1085
push	1086
helped	1087
killing	1088
usually	1089
earlier	1090
boss	1091
Laura	1092
beginning	1093
liked	1094
innocent	1095
doc	1096
rules	1097
Elizabeth	1098
Sabrina	1099
summer	1100
ex	1101
cop	1102
learned	1103
thirty	1104
risk	1105
letting	1106
Phillip	1107
speaking	1108
officer	1109
ridiculous	1110
support	1111
afternoon	1112
Eric	1113
born	1114
dreams	1115
apologize	1116
seat	1117
nervous	1118
across	1119
song	1120
Olivia	1121
charge	1122
patient	1123
Cassie	1124
boat	1125
how'd	1126
brain	1127
hide	1128
detective	1129
Aaron	1130
Kendall	1131
general	1132
Tom	1133
planning	1134
nine	1135
huge	1136
breakfast	1137
horrible	1138
age	1139
awful	1140
pleasure	1141
driving	1142
hanging	1143
picked	1144
system	1145
sell	1146
quit	1147
apparently	1148
dying	1149
notice	1150
Josh	1151
congratulations	1152
chief	1153
faith	1154
Simon	1155
gay	1156
ho	1157
one's	1158
month	1159
visit	1160
Hal	1161
could've	1162
c'mon	1163
aw	1164
Edmund	1165
Brady	1166
letter	1167
decide	1168
American	1169
double	1170
Troy	1171
sad	1172
press	1173
forward	1174
fool	1175
showed	1176
smell	1177
seemed	1178
Mary	1179
spell	1180
Courtney	1181
memory	1182
mark	1183
Alan	1184
pictures	1185
Paris	1186
slow	1187
joe	1188
Tim	1189
seconds	1190
hungry	1191
board	1192
position	1193
hearing	1194
Roz	1195
kitchen	1196
ma'am	1197
bob	1198
force	1199
fly	1200
during	1201
space	1202
should've	1203
realized	1204
experience	1205
kick	1206
others	1207
grab	1208
mother 's	1209
P .	1210
Sharon	1211
discuss	1212
third	1213
cat	1214
fifty	1215
responsible	1216
Jennifer	1217
Philip	1218
miles	1219
fat	1220
reading	1221
idiot	1222
yep	1223
rock	1224
rich	1225
suddenly	1226
agent	1227
bunch	1228
destroy	1229
bucks	1230
track	1231
shoes	1232
scene	1233
peace	1234
arms	1235
demon	1236
Diane	1237
Bridget	1238
Brad	1239
low	1240
Livvie	1241
consider	1242
papers	1243
medical	1244
incredible	1245
witch	1246
er	1247
drunk	1248
attorney	1249
Charlie	1250
tells	1251
knock	1252
Karen	1253
ways	1254
eh	1255
belle	1256
cash	1257
gives	1258
department	1259
nose	1260
Skye	1261
turns	1262
keeps	1263
beer	1264
jealous	1265
drug	1266
Molly	1267
sooner	1268
cares	1269
plenty	1270
extra	1271
tea	1272
won	1273
attack	1274
ground	1275
whose	1276
outta	1277
Kyle	1278
L .	1279
weekend	1280
matters	1281
wrote	1282
type	1283
father 's	1284
Alex	1285
gosh	1286
opportunity	1287
king	1288
impossible	1289
books	1290
machine	1291
waste	1292
th#English|-th|th	1293
pretend	1294
named	1295
danger	1296
wall	1297
Liz	1298
Ian	1299
Henry	1300
jump	1301
eating	1302
proof	1303
complete	1304
slept	1305
career	1306
arrest	1307
